Rk,Player,Pos,Age,Tm,G,MP,PER,3PAr,FTr,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,,%Game,TS%,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,Salary
486,Xavier Tillman Sr.,PF,22,MEM,59,1085,14.7,0.217,0.177,1.4,1.5,2.9,0.127,-1.3,0.9,-0.4,0.4,,1,0.605,7.2,18,12.5,9.4,1.9,2.7,12.3,14.3,158907
487,Anthony Tolliver,PF,35,PHI,11,99,4,0.824,0.353,-0.1,0.1,0.1,0.025,-5.7,-1.7,-7.4,-0.1,,1,0.433,3.4,7.6,5.6,2.5,1.5,1.8,13.3,9.8,144297
488,Obi Toppin,PF,22,NYK,62,683,12.7,0.407,0.124,0.5,1,1.5,0.109,-1.5,0.5,-1,0.2,,1,0.574,4.2,17.6,11,6.4,1.2,2.1,9.4,15.9,135362
489,Juan Toscano-Anderson,SG,27,GSW,53,1107,12.6,0.44,0.148,1.4,1.6,3,0.13,-1.5,2.2,0.6,0.7,,1,0.676,2.8,19.5,11.3,18.1,1.7,2.1,21.5,11,135350
490,Axel Toupane,SF,28,MIL,8,61,9,0.182,0.636,0.1,0.1,0.1,0.097,-4.4,1.3,-3.1,0,,1,0.497,0,10,5.2,7.6,1.5,4.4,0,9.7,129209
491,Karl-Anthony Towns,C,25,MIN,50,1689,23.1,0.36,0.355,3.8,1.6,5.4,0.153,4,0.2,4.3,2.7,,1,0.612,8.2,26.4,17,22.6,1.1,2.9,13.7,29.1,125000
492,Gary Trent Jr.,SG,22,TOT,58,1802,12.1,0.546,0.135,1,0.7,1.7,0.045,-0.6,-2.1,-2.7,-0.3,,0.5,0.534,1.6,7.7,4.6,6.6,1.5,0.5,4.9,20.9,123056
492,Gary Trent Jr.,SG,22,POR,41,1262,12.4,0.582,0.143,1.2,0.3,1.5,0.056,0,-2.4,-2.4,-0.1,,0.4,0.55,1.7,6.1,3.9,6.7,1.4,0.4,5.3,20.1,123056
492,Gary Trent Jr.,SG,22,TOR,17,540,11.3,0.475,0.119,-0.2,0.4,0.2,0.019,-1.8,-1.6,-3.4,-0.2,,0.1,0.501,1.2,11.6,6.2,6.4,1.7,0.7,4.2,22.9,122741
493,P.J. Tucker,PF,35,TOT,52,1356,5.5,0.672,0.158,0.1,0.9,1,0.034,-4.5,0.2,-4.3,-0.8,,0.5,0.51,3.9,12.3,8,5.7,1.4,1.3,17.4,7.2,107674
493,P.J. Tucker,PF,35,HOU,32,959,5.5,0.656,0.176,-0.2,0.6,0.4,0.021,-5.1,0.3,-4.8,-0.7,,0.3,0.5,3.5,13.3,8.2,6.1,1.4,1.7,19,7.7,95369
